X-date,Y-Mbyte,Date,Month,Ref:,Page,Company,Size Kbyte,Cost US $,Speed nsec, Memory Type,JDR Chip Prices Size Kbit,US$,nsec
1990.58,81.1,1990,Aug,BYTE,,Nevada,8192,649,,Bocaram AT Plus 8MB - $649,1024,11.95,120
1991.83,39.8,1991,Nov,BYTE,401,Nevada,4096,159,80,4Mx9-80 SIMM @ $159,1024,5.49,100
1991.92,39.8,1991,Dec,BYTE,316,Nevada,4096,159,80,4Mx9-80 SIMM @ $159,1024,5.49,100
1994.17,36,1994,Mar,BYTE,251,Nevada,4096,144,80,4Mx9-80 SIMM @ $144,36864,159.95,80
1994.5,38.5,1994,Jul,BYTE,239,Nevada,4096,154,80,4Mx9-80 SIMM @ $154,36864,169.95,60
1994.58,37,1994,Aug,BYTE,226,Nevada,1024,37,100,1Mx9-100 SIMM @ $37,36864,169.95,60
1995,32.3,1995,Jan,BYTE,256,Nevada,4096,129,80,4Mx9-80 SIMM @ $129,36864,159.95,70
2003.17,0.176,2003,25-Mar,Pcmag,95,NewEgg.com,262144,45,,256 MB DIMM DDR-2100 @ $45,,,
2003.33,0.126,2003,27-May,Pcmag,95,NewEgg.com,524288,64.5,,512 MB DIMM DDR-2700 @ $64.50,,,
2004,0.174,2004,Jan,Pcmag,143,NewEgg.com,524288,89,,512 MB DIMM DDR-3200 @ $89,,,
2004.08,0.148,2004,17-Feb,Pcmag,78,NewEgg.com,524288,76,,512 MB DIMM DDR-3200 @ $76,GEIL,,
2004.17,0.146,2004,16-Mar,Pcmag,115,NewEgg.com,524288,75,,512 MB DIMM DDR-3200 @ $75,GEIL,,
2004.33,0.156,2004,4-May,Pcmag,19,NewEgg.com,524288,80,,512 MB DIMM DDR-3200 @ $76,GEIL,,
2004.42,0.203,2004,8-Jun,Pcmag,19,NewEgg.com,524288,104,,512 MB DIMM DDR-3200 @ $104,GEIL,,
2004.5,0.176,2004,July,Pcmag,19,NewEgg.com,524288,90,,512 MB DIMM DDR-3200 @ $90,Kingston,,
2005.25,0.185,2005,12-Apr,Pcmag,24,NewEgg.com,1048576,189,,2x512 MB DIMM DDR-3200 @ $90,Mushkin,,
2005.42,0.149,2005,7-Jun,Pcmag,20,NewEgg.com,1048576,153,,1 GB DIMM DDR PC-3200Pro @ $153,Corsair,,
2005.83,0.116,2005,8-Nov,Pcmag,67,NewEgg.com,1048576,119,,1 GB DIMM DDR2-533 @ $119,,,
2005.92,0.185,2005,6-Dec,Pcmag,139,NewEgg.com,1048576,189,,2x512 MB DIMM DDR-4800 @ $189,,,
2006.17,0.112,2006,21-Mar,Pcmag,66,NewEgg.com,2097152,229.81,,2x1 GB DIMM DDR-500 PC4000 @ $229.81,OCZ Gold,,
2006.33,0.073,2006,25-May,Web,,NewEgg.com,2097152,148.99,,2x1 GB DIMM DDR2-667 @ $148.99 free shipping,OCZ Gold,,
2006.5,0.082,2006,23-Jul,Web,,NewEgg.com,1048576,83.99,,1GB DIMM DDR2-667 @$83.99,Kingston,,
2006.67,0.073,2006,1-Sep,Web,,NewEgg.com,2097152,149.99,,2x1 GB DIMM DDR2-667 @ $179.99-$30 rebate + 4.99 shipping,OCZ Gold,,
2006.75,0.088,2006,5-Oct,Web,,NewEgg.com,2097152,179.98,,2x1 GB DIMM DDR2-667 @ $214.99-$40 rebate + 4.99 shipping,PQi,,
2006.83,0.098,2006,25-Nov,Web,,NewEgg.com,2097152,199.99,,2x1 GB DIMM DDR2-800 @ $199.99 + free shipping,G. Skill,,
2006.99,0.092,2006,21-Dec,Web,,NewEgg.com,1048576,93.98,,1GB DIMM DDR-400 @$88.99 + 4.99 shipping,Wintec,,
2007,0.082,2007,28-Jan,Web,,NewEgg.com,1048576,83.98,,1GB DIMM DDR-400 @$78.99 + 4.99 shipping,PQi,,
2007.08,0.078,2007,28-Feb,Web,,NewEgg.com,1048576,79.98,,1GB DIMM DDR2-800 @ $74.99 + $4.99 shipping,Patriot,,
2007.17,0.066,2007,15-Mar,Web,,NewEgg.com,2097152,134.98,,2x1 GB DIMM DDR2-667 @ $129.99 + 4.99 shipping,Wintec,,
2007.33,0.0464,2007,7-May,Web,,NewEgg.com,2097152,94.99,5-5-5-18,2x1 GB DIMM DDR2-800 @ $94.99 + free shipping,A-Data,,
2007.5,0.0386,2007,9-Jul,Web,,NewEgg.com,2097152,78.98,cas 5,2x1 GB DIMM DDR2-667 @ $73.99 + 4.99 shipping,Super Talent,,
2007.67,0.0351,2007,30-Sep,Web,,NewEgg.com,2097152,71.98,cas 5,2x1 GB DIMM DDR2-800 @ $66.99 + 4.99 shipping,Mushkin,,
2007.75,0.0322,2007,16-Oct,Web,,NewEgg.com,2097152,65.98,5-5-5-18,2x1 GB DIMM DDR2-800 @ $60.99 + 4.99 shipping,A-Data,,
2007.83,0.0244,2007,10-Nov,Web,,NewEgg.com,2097152,49.98,,2x1 GB DIMM DDR2-667 @ $44.99 + 4.99 shipping,Kingston,,
2007.92,0.0244,2007,5-Dec,Web,,NewEgg.com,2097152,49.95,5-5-5-15,2x1 GB DIMM DDR2-800 @ $49.95 + free shipping,G.Skill,,
2008,0.0232,2008,18-Jan,Web,,NewEgg.com,4194304,94.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $94.99 + free shipping,G.Skill,,
2008.08,0.022,2008,20-Feb,Web,,NewEgg.com,2097152,44.99,5-5-5-15,2x1 GB DIMM DDR2-800 @ $44.99 + free shipping,G.Skill,,
2008.33,0.022,2008,18-May,Web,,NewEgg.com,2097152,44.99,5-5-5-15,2x1 GB DIMM DDR2-800 @ $44.99 + free shipping,G.Skill,,
2008.5,0.0207,2008,7-Jul,Web,,NewEgg.com,4194304,84.98,5-5-5-18,2x2 GB DIMM DDR2-800 @ $77.99 + 5.99 shipping,A-Data,,
2008.58,0.0176,2008,21-Aug,Web,,NewEgg.com,2097152,35.99,,2x1 GB DIMM DDR2-667 @ $35.99 + free shipping,Crucial,,
2008.67,0.0146,2008,25-Sep,Web,,NewEgg.com,2097152,29.99,cas 5,2x1 GB DIMM DDR2-667 @ $29.99 + free shipping,Crucial,,
2008.83,0.011,2008,14-Nov,Web,,NewEgg.com,4194304,44.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $49.99 + free shipping,G.Skill,,
2008.92,0.0098,2008,14-Dec,Web,,NewEgg.com,4194304,39.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $39.99 + free shipping,G.Skill,,
2009,0.0098,2009,19-Jan,Web,,NewEgg.com,4194304,39.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $39.99 + free shipping,G.Skill,,
2009.08,0.0107,2009,14-Feb,Web,,NewEgg.com,2097152,21.99,cas 6,2x1 GB DIMM DDR2-800 @ $21.99 + free shipping,Kingston,,
2009.25,0.0105,2009,3-Apr,Web,,NewEgg.com,4194304,42.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $42.99 + free shipping,G.Skill,,
2009.42,0.0115,2009,3-Jun,Web,,NewEgg.com,4194304,46.99,5-5-5-18,2x2 GB DIMM DDR2-800 @ $46.99 + free shipping,Corsair,,
2009.5,0.011,2009,2-Jul,Web,,NewEgg.com,4194304,44.99,5-5-5-18,2x2 GB DIMM DDR2-800 @ $44.99 + free shipping,Corsair,,
2009.58,0.0127,2009,20-Aug,Web,,NewEgg.com,4194304,51.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $51.99 + free shipping,G.Skill,,
2009.75,0.0183,2009,7-Oct,Web,,NewEgg.com,4194304,74.99,5-5-5-15,2x2 GB DIMM DDR2-1066 @ $74.99 + free shipping,Patriot,,
2009.92,0.0205,2009,12-Dec,Web,,NewEgg.com,2097152,41.99,,1x2 GB DIMM DDR2-800 @ $41.99 + free shipping,Crucial,,
2010,0.019,2010,15-Jan,Web,,NewEgg.com,4194304,77.99,5-5-5-15,2x2 GB DIMM DDR2-800 @ $77.99 + free shipping,Wintec,,
2010.08,0.0202,2010,11-Feb,Web,,NewEgg.com,4194304,82.78,cas 5,2x2 GB DIMM DDR2-667 @ $79.99 + 2.99 shipping,Patriot,,
2010.17,0.0195,2010,10-Mar,Web,,NewEgg.com,2097152,39.99,cas 5,2x1 GB DIMM DDR2-800 @ $39.99 + free shipping,Wintec,,
