X-date,Y-Mbyte,Date,Month,Ref:,Page,Company,Size Kbyte,Cost US $,Speed nsec, Memory Type,JDR Chip Prices Size Kbit,US$,nsec
1957,"411,041,792",1957,,Phister 366,366,C.C.C.,0.000976563,392,10000,Flip-Flop transistor,,,
1959,"67,947,725",1959,,Phister 366,366,E.E.Co.,0.000976563,64.8,10000,Flip-Flop - vacuum tube,,,
1960,"5,242,880",1960,,Phister 367,367,IBM,0.000976563,5,11500,Core memory for IBM 1401,,,
1965,"2,642,412",1965,,Phister 367,367,IBM,0.000976563,2.52,2000,Core Memory for IBM 360/30,,,
1970,"734,003",1970,,Phister 367,367,IBM,0.000976563,0.7,770,Core Memory for IBM 370/135,,,
1973,"399,360",1973,Jan,PDP8/e User Price List,,DEC,12,4680,,Core memory 8Kwords x 12 bit,,,
1974,"314,573",1974,,Phister 367,367,IBM,0.000976563,0.3,800,IC Memory for IBM 370/125,,,
1975,"421,888",1975,Jan,Radio-Electronics,,MITS,0.25,103,1000,Altair 8800 256 Byte Static Board,,,
1975.08,"180,224",1975,Feb,,,MITS,1,176,,Altair 1K Static Board,,,
1975.25,"67,584",1975,Apr,,,MITS,4,264,,Altair 4K DRAM Board,,,
1975.75,"49,920",1975,Oct,,,MITS,4,195,,Altair 4K Static (2102) RAM Board,,,
1976,"40,704",1976,Jan,,,MITS,4,159,,Altair 4K Static (2102) RAM Board,,,
1976.17,"48,960",1976,Mar,,,MITS,16,765,,Altair 16K Static RAM Board,,,
1976.42,"23,040",1976,Jun,,,SD Sales,4,90,,SD Sales 4K Static Board,,,
1976.58,"32,000",1976,Aug,,,,8,250,,8K Static RAM Board,,,
1977.08,"36,800",1977,Feb,,,TDL,16,575,,S-100 16K,,,
1978.17,"28,000",1978,Mar,,,,64,1750,,S-100 64K,,,
1978.25,"29,440",1978,Apr,,,,16,460,,,,,
1978.33,"19,200",1978,May,,,,16,300,,,,,
1978.5,"24,000",1978,Jul,,,Extensis,64,1500,,,,,
1978.58,"16,000",1978,Aug,,,,8,125,,,,,
1978.75,"15,200",1978,Oct,,,,32,475,,,,,
1979,"10,528",1979,Jan,Interface Age,124,,32,329,,,,,
1979.75,"6,704",1979,Oct,,,SD Sales - Jade,64,419,,"S-100, SD Sales/Jade 64K Kit",,,
1980,"6,480",1980,Jan,Interface Age,121,,64,405,,,,,
1981,"8,800",1981,Jan,Interface Age,141,,64,550,,,,,
1981.58,"4,479",1981,Aug,,,Jade,64,279.95,,,,,
1982,"3,520",1982,Jan,Interface Age,135,,256,880,,,,,
1982.17,"4,464",1982,Mar,Microsystems,,,64,279,,,,,
1982.67,"1,980",1982,Sep,BYTE,,California Digital,256,495,,,,,
1983,"2,396",1983,Jan,Interface Age,153,,256,599,,,,,
1983.67,"1,980",1983,Sep,BYTE,,California Digital,256,495,,,,,
1984,"1,379",1984,Jan,BYTE,64,,384,517,,,,,
1984.58,"1,331",1984,Aug,BYTE,467,Advanced Computer Products,384,499,,"IBM PC Board, 384K, $199+6*50",256,79,
1985,880,1985,Jan,BYTE,470,Do Kay,512,440,,IBM 512K $199.95+8*29.97,,,
1985.33,720,1985,May,BYTE,507,Do Kay,512,360,,IBM 512K $199.95+8*19.98,,8.95,
1985.42,550,1985,Jun,BYTE,505,Do Kay,512,275,,IBM 512K $149+8*15.75,,5.95,200
1985.5,420,1985,Jul,BYTE,435,Fortron,512,210,,IBM 512K $119+7*13,,5.95,200
1985.58,350,1985,Aug,BYTE,418,Jade,2048,699,,2MB J-RAM-2 A&T $699,256,3.95,200
1985.67,300,1985,Sep,BYTE,444,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,200
1985.83,300,1985,Nov,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,200
1985.92,300,1985,Dec,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,200
1986,300,1986,Jan,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,150
1986.08,300,1986,Feb,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,150
1986.17,300,1986,Mar,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,150
1986.25,300,1986,Apr,BYTE,,Jade,2048,599,,2MB J-RAM-2 A&T $599,256,2.95,150
1986.33,190,1986,May,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1986.42,190,1986,Jun,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1986.5,190,1986,Jul,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1986.58,190,1986,Aug,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1986.67,190,1986,Sep,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1986.75,190,1986,Oct,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1986.92,190,1986,Dec,BYTE,,JDR,3072,568.5,,JDR AT Multifuntion $199.95+49.95+318.60,256,2.95,150
1987,176,1987,Jan,BYTE,477,JDR,3072,528.5,,JDR AT Multifuntion $139.95+49.95+3*36*2.95,256,2.95,150
1987.08,176,1987,Feb,BYTE,,JDR,3072,528.5,,JDR AT Multifuntion $139.95+49.95+3*36*2.95,256,2.95,150
1987.17,157,1987,Mar,BYTE,383,Pine,3072,471,,Pine 3MB Multifunction $147+108*3,256,2.95,150
1987.25,154,1987,Apr,BYTE,,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,256,2.95,150
1987.33,154,1987,May,BYTE,,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,256,2.95,150
1987.42,154,1987,Jun,BYTE,,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,256,2.95,150
1987.5,154,1987,Jul,BYTE,,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,256,2.95,150
1987.58,154,1987,Aug,BYTE,,JDR,4096,614.7,,JDR MCT-ATRAM 4MB $149.95+39.95+4*36*2.95,256,2.95,150
1987.67,163,1987,Sep,BYTE,,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,256,2.95,150
1987.75,133,1987,Oct,BYTE,322,Advanced Computer Products,3072,399,,AST Advantage AT w/3MB,256,2.95,150
1987.83,163,1987,Nov,BYTE,,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,256,2.95,150
1987.92,163,1987,Dec,BYTE,,JDR,3072,488.47,,JDR MCT-ATMF 3MB Multifunction,256,2.95,150
